,Date,Mention Content,Processed Content,Year-Month,Length
5566,2020-07-14,RT @murray_nyc: @TeamTrump @realDonaldTrump Trump is responsible for the nation’s failure to contain the coronavirus once it arrived here. Blaming China is pointless and pathetic. Real leaders take responsibility rather than engage in endless blaming. COVID19 is out of control in various states and getting worse!,trump  responsible   nation failure  contain  coronavirus   arrived  blaming china  pointless  pathetic real leaders take responsibility rather  engage  endless blaming covid19    control  various states  getting worse,2020-07,218
5567,2020-07-14,"When Trump flaps his guns about blaming China for the #coronavirus, look back at the time he praised President Xi for his efforts. Trump is playing this nation for being stupid. RT @DonnyTheMessiah: @TONYxTWO @realDonaldTrump @TTuberville @DougJones CHYNA!",trump flaps  guns  blaming china   coronavirus look back   time  praised president xi   efforts trump  playing  nation   stupid      chyna,2020-07,138
5568,2020-07-15,"Note the date... 🙄 Feb 5th. @POTUS handled it better than any Dem, the higher ups who probably are bribed by China’s regime. @PressSec RT @murray_nyc: @TeamTrump @realDonaldTrump Trump is responsible for the nation’s failure to contain the coronavirus once it arrived here. Blaming China is pointless and pathetic. Real leaders take responsibility rather than engage in endless blaming. COVID19 is out of control in various states and getting worse!",note  date 🙄 feb 5th  handled  better   dem  higher ups  probably  bribed  china regime     trump  responsible   nation failure  contain  coronavirus   arrived  blaming china  pointless  pathetic real leaders take responsibility rather  engage  endless blaming covid19    control  various states  getting worse,2020-07,310
5569,2020-07-15,"In the beginning, trump didn’t blame China. Trump said China had it under control. It became China’s fault when trump had no plan, and no understanding. He’s a murderer! RT @TuckerCarlson: The Press won’t blame China for the Coronavirus. So what was the press saying about the virus when it was still possible to contain it? Watch. https://video.foxnews.com/v/6144224360001#sp=show-clips",beginning trump  blame china trump  china    control  became china fault  trump   plan   understanding   murderer   press  blame china   coronavirus     press saying   virus    still possible  contain  watch,2020-07,207
5570,2020-07-15,"RT @markknoller: Before making his infrastructure remarks, Pres Trump made brief mention of the Coronavirus pandemic, now surging in Georgia. Again blames China for not containing it at the start, but says ""together we will defeat the virus and emerge stronger than ever before.""","making  infrastructure remarks pres trump made brief mention   coronavirus pandemic  surging  georgia  blames china   containing    start   ""together   defeat  virus  emerge stronger  ever """,2020-07,190
5571,2020-07-15,trump is blaming China for covid. This feckless son of a bitch is going to get the whole world turned to a cinder.,trump  blaming china  covid  feckless son   bitch  going  get  whole world turned   cinder,2020-07,90
5572,2020-07-15,RT @LindaSN0228WI: @realDonaldTrump @WashTimes “COVID-19 (Trump Virus) has been called a hoax in recent months by Trump and his administration. Trump has told governors they’re on their own and then he claims 99% of all cases are very mild. Trump sent USA PPE to China and then blames China for the virus.” #TrumpVirus 😷🤢🤧🤮,“covid-19  trump virus    called  hoax  recent months  trump   administration trump  told governors        claims 99%   cases   mild trump sent usa ppe  china   blames china   virus” trumpvirus 😷🤢🤧🤮,2020-07,198
5573,2020-07-15,"Actually worse than whatever they blamed China for, our government wants us dead. They are purposely killing us, and they expect us to just go along with it RT @nick_kapur: Starting today, US hospitals are banned from reporting COVID data to the Centers for Disease Control. Instead, they must report it to a no-bid, privately-contracted server under control of the Trump political apparatus. https://www.nytimes.com/2020/07/14/us/politics/trump-cdc-coronavirus.html",actually worse  whatever  blamed china   government wants  dead   purposely killing    expect    go along    starting today  hospitals  banned  reporting covid data   centers  disease control instead  must report    -bid privately-contracted server  control   trump political apparatus,2020-07,285
5574,2020-07-15,"The administration who first claimed the virus was a hoax and a mild flu, failed to act quickly and still fails to provide adequate PPE & testing AND blames China for lying about its numbers has now taken charge of data and reporting. #fascism #covid19 @hhsgov @CDCgov @SecAzar RT @CNN: Hospital data on coronavirus patients will now be rerouted to the Trump administration instead of first being sent to the US Centers for Disease Control and Prevention, the Department of Health and Human Services confirmed to CNN on Tuesday. https://www.cnn.com/2020/07/14/politics/trump-administration-coronavirus-hospital-data-cdc/index.html?utm_term=link&utm_source=twCNN&utm_content=2020-07-15T10%3A30%3A07&utm_medium=social",administration  first claimed  virus   hoax   mild flu failed  act quickly  still fails  provide adequate ppe & testing  blames china  lying   numbers   taken charge  data  reporting fascism covid19     hospital data  coronavirus patients    rerouted   trump administration instead  first  sent    centers  disease control  prevention  department  health  human services confirmed  cnn  tuesday,2020-07,394
5575,2020-07-16,"This should worry everyone. Remember how @realDonaldTrump blamed China for covering up COVID info? That the Chinese Govt. restricted data to health organizations, and left the world in the dark? WTF do you think Trump is doing now....the same damn thing #TrumpFailedAmerica RT @MSNBC: The CDC will ""no longer control"" the coronavirus data collection system from hospitals across the nation, a spokesman for U.S. Health and Human Services says. https://www.nbcnews.com/news/us-news/hospitals-told-send-coronavirus-data-washington-not-cdc-n1233861?cid=sm_npd_ms_tw_ma","worry everyone remember   blamed china  covering  covid info   chinese govt restricted data  health organizations  left  world   dark wtf   think trump     damn thing trumpfailedamerica   cdc  "" longer control""  coronavirus data collection system  hospitals across  nation  spokesman  u health  human services",2020-07,309
5576,2020-07-16,"RT @henry_mariner: Trump has blamed China for falsifying Coronavirus statistics, now he is doing the same by outsourcing Coronavirus data processing to a private company. This will obviously lead to lower numbers being reported. HE IS LYING TO AMERICA AND THE REST OF THE WORLD! HOW IS THIS ALLOWED?",trump  blamed china  falsifying coronavirus statistics        outsourcing coronavirus data processing   private company   obviously lead  lower numbers  reported   lying  america   rest   world    allowed,2020-07,204
5577,2020-07-16,Remember like five months ago when everyone was blaming China for hiding #COVID19 data? RT @CheriJacobus: This is terrifying. Coronavirus data has already disappeared after Trump administration shifted control from CDC https://www.cnbc.com/2020/07/16/us-coronavirus-data-has-already-disappeared-after-trump-administration-shifted-control-from-cdc-to-hhs.html?__source=sharebar|twitter&par=sharebar,remember  five months ago  everyone  blaming china  hiding covid19 data    terrifying coronavirus data  already disappeared  trump administration shifted control  cdc,2020-07,166
5578,2020-07-16,Remember when Trump and others in his administration blamed China because they didn't make public their infection data? RT @Dawn_Kopecki: SCOOP: U.S. coronavirus data has already disappeared after Trump administration shifted control from CDC to HHS https://www.cnbc.com/2020/07/16/us-coronavirus-data-has-already-disappeared-after-trump-administration-shifted-control-from-cdc-to-hhs.html?__source=sharebar|twitter&par=sharebar @WillFOIA,remember  trump  others   administration blamed china    make public  infection data  scoop u coronavirus data  already disappeared  trump administration shifted control  cdc  hhs,2020-07,179
5579,2020-07-16,@GOPLeader RT @TRUMPTY70088851: @WashTimes @GOPLeader Lets get the latest information to really hit the nail on the head !!! Trump is trying to blame CHINA FOR HIS FAILINGS TO REACT TO COVID ! LETS CALL IT WHAT IT IS NOT COVID 19... RATHER ITS TRUMP 19 !!! MAKE SURE THERE IS NO TRUMP 20 !!!,lets get  latest information  really hit  nail   head  trump  trying  blame china   failings  react  covid  lets call      covid 19 rather  trump 19  make sure    trump 20,2020-07,171
